X,Y,OBJECTID,CT_NO,MAP_LABEL_NAME,CITY,ZIPCODE,POSTMILE_P,POSTMILE,POSTMILE_S,LATITUDE,LONGITUDE,DISTRICT,CO_CODE,COUNTY,ROUTE,REST_AREA_NAME,LANDMARK_LOCATION,TRAFFIC_DIRECTION,RESTROOM,WATER,PICNICTAB,PHONE,HANDICAP,RV_STATION,VENDING,PET_AREA
-13032937.2164,4030424.3136,63,90800129,Wildwood Safety Roadside Rest Area - Eb,Beaumont,92223, ,38.16, ,34.012076,-117.076855,8,SBD,San Bernardino,10,Wildwood,1 mi. W. of Calimesa,E,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-12790692.0429,3976611.0751,64,90800130,Wiley'S Well Safety Roadside Rest Area - Eb & Wb,Blythe,92225, ,135, ,33.610422,-114.90073,8,RIV,Riverside,10,Wiley's Well,15 mi. W. of Blythe,E & W,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13129724.0958,4306788.5114,65,90900017,Coso Jct Safety Roadside Rest Area Nb & Sb,Olancha,93545, ,17.7, ,36.044802,-117.946306,9,INY,Inyo,395,Coso Junction,17 mi. S. of Jct. Rte. 395/190,N & S,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13243598.0739,4541513.9711,66,90900020,Crestview Safety Roadside Rest Area Nb & Sb,June Lake,93529, ,32.2, ,37.731133,-118.969253,9,MNO, Mono,395,Crestview,6.4 mi. N. of Jct. 203,N & S,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13162295.7493,4431538.9796,67,90900023,Division Creek Safety Roadside Rest Area Nb & Sb,Independence,93526,R,83.9, ,36.945682,-118.238902,9,INY,Inyo,395,Division Creek,10 mi. N. of Independence,N & S,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13445419.6648,4420253.0421,68,91000030,"John "" Chuck"" Erreca Safety Roadside Rest Area - Nb",Firebaugh,93622, ,0.7, ,36.864613,-120.782247,10,MER,Merced,5,"John ""Chuck"" Erreca",0.7 mi. N. of Fresno Co. Line,N,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
-13445593.1006,4419950.0001,69,91000031,"John "" Chuck"" Erreca Safety Roadside Rest Area  - Sb",Firebaugh,93622, ,0.7, ,36.862435,-120.783805,10,MER,Merced,5,"John ""Chuck"" Erreca",0.7 mi. N. of Fresno Co. Line,S,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
-13450359.4753,4504303.4228,70,91000078,Enoch Christoffersen Safety Roadside Rest Area - Nb,Turlock,95380, ,0.5, ,37.466292,-120.826622,10,STA,Stanislaus,99,Enoch Christoffersen,2.3 mi.S. of Turlock,N,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
-13450463.8931,4504016.6118,71,91000079,Enoch Christoffersen Safety Roadside Rest Area - Sb,Turlock,95380, ,0.5, ,37.464247,-120.82756,10,STA,Stanislaus,99,Enoch Christoffersen,2.3 mi.S. of Turlock,S,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
-13505545.6777,4520817.0603,72,91000082,Westley Safety Roadside Rest Area - Nb,Tracy,95376, ,27.2, ,37.583942,-121.322368,10,STA,Stanislaus,5,Westley,0.9 mi. S. of San Joaquin Co. Line,N,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
-13505682.4894,4520438.6322,73,91000083,Westley Safety Roadside Rest Area - Sb,Tracy,95376, ,27.2, ,37.581248,-121.323597,10,STA,Stanislaus,5,Westley,0.9 mi. S. of San Joaquin Co. Line,S,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
-13072932.3062,3931059.7357,74,91100003,Aliso Creek Safety Roadside Rest Area - Nb,Oceanside,92054, ,0, ,33.268964,-117.436137,11,SD,San Diego,5,Aliso Creek,5.8 mi.N. of Oceanside,N,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
-13073778.7797,3931469.816,75,91100004,Aliso Creek Safety Roadside Rest Area - Sb,Oceanside,92054, ,0, ,33.272044,-117.443741,11,SD,San Diego,5,Aliso Creek,5.8 mi. N. of Oceanside,S,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
-12966928.8551,3863231.2597,76,91100012,"Buckman Springs Safety Roadside Rest Area
Eb & Wb",Pine Valley,92062, ,0, ,32.758032,-116.483892,11,SD,San Diego,8,Buckman Springs,3.3 mi. E. of Pine Valley,E & W,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
-12789533.3109,3860502.7488,77,91100067,Sand Hills Safety Roadside Rest Area - Eb & Wb, , , ,0, ,32.737417,-114.890321,11,IMP,Imperial,8,Sand Hills,20 mi. W. of Arizona State Line,E & W,Yes,Yes,N,N,Yes,No,No,N
-12876309.6529,3865262.1504,78,91100074,Sunbeam Safety Roadside Rest Area - Eb,El Centro,92243,R,31.3, ,32.773373,-115.669846,11,IMP,Imperial,8,Sunbeam,6 mi. W. of El Centro,E,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
-12876218.4822,3865431.6164,79,91100075,Sunbeam Safety Roadside Rest Area - Wb,El Centro,92243,R,31.3, ,32.774653,-115.669027,11,IMP,Imperial,8,Sunbeam,6 mi. W. of El Centro,W,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
-12859737.2972,3906270.465,80,91100081,Two Rivers Safety Roadside Rest Area - Nb & Sb,Calipatria,92233, ,0, ,33.082577,-115.520974,11,IMP,Imperial,111,Two Rivers,2.5 mi. S. of Calipatria,N & S,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
-13304985.6476,4368544.3496,81,90600107,C. H. Warlow Safety Roadside Rest Area Nb & Sb,Kingsburg,93631, ,51.8, ,36.492079,-119.520707,6,TUL,Tulare,99,C. H. Warlow,At Dodge Ave. Near Kings River,N & S,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
-13611071.9337,4905314.6852,82,99900178,Herbert S. Miles Safety Roadside Rest Area - Sb,Red Bluff,96080, ,34.7, ,40.270398,-122.270326,2,TEH,Tehama,5,Herbert S. Miles,4.4 mi. N. of Red Bluff,S,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13603402.3485,4858384.9002,83,99900228,Lt. John C. Helmick Safety Roadside Rest Area - Sb,Corning,96021, ,10.5, ,39.947969,-122.201429,2,TEH,Tehama,5,LT John C. Helmick,1.3 mi. N. of Corning Road,S,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13631835.3795,5083054.0926,84,99900230,Weed Airport Safety Roadside Rest Area - Sb,Weed,96094, ,25.8, ,41.477657,-122.456847,2,SIS,Siskiyou,5,Weed Airport,6. Mi. N. of Weed,S,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13479690.8741,4951576.8964,85,99900235,Bogard Safety Roadside Rest Area - Eb & Wb,Susanville,96130, ,14.5, ,40.586743,-121.09011,2,LAS,Lassen,44,Bogard,28 mi. N.W. of Susanville,E & W,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13616325.6662,4981941.1239,86,90200131,O'Brien Safety Roadside Rest Area - Nb,Shasta Lake,96001,R,31.1, ,40.793567,-122.317521,2,SHA,Shasta,5,O'Brien,"15 mi. N. of Redding, Shasta County",N,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-12971489.856,4136764.3369,87,99902875,Desert Oasis Safety Roadside Rest Area - Eb,Newberry Springs,92365,R,29.11, ,34.800211,-116.524864,8,SBD,San Bernardino,40,Desert Oasis,9 mi. E. of Newberry,W,Yes,Yes,Yes,Yes,Yes,No,No,Yes
